occupation,category,code,soccupation
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Sales and Related Occupations,4950,Door-to-Door Sales Workers and Street Vendors
"Sales and Related Workers, All Other",Sales and Related Occupations,4965,Other Sales Workers
First-Line Supervisors of Office and Administrative Support Workers,Office and Administrative Support Occupations,5000,Office and Administrative Support Supervisors
"Switchboard Operators, Including Answering Service",Office and Administrative Support Occupations,5010,Switchboard Operators
Telephone Operators,Office and Administrative Support Occupations,5020,Telephone Operators
"Communications Equipment Operators, All Other",Office and Administrative Support Occupations,5030,Other Communications Equipment Operators
Bill and Account Collectors,Office and Administrative Support Occupations,5100,Bill and Account Collectors
Billing and Posting Clerks,Office and Administrative Support Occupations,5110,Billing and Posting Clerks
"Bookkeeping, Accounting, and Auditing Clerks",Office and Administrative Support Occupations,5120,"Bookkeeping, Accounting, and Auditing Clerks"
Gaming Cage Workers,Office and Administrative Support Occupations,5130,Gaming Cage Workers
Payroll and Timekeeping Clerks,Office and Administrative Support Occupations,5140,Payroll and Timekeeping Clerks
Procurement Clerks,Office and Administrative Support Occupations,5150,Procurement Clerks
Tellers,Office and Administrative Support Occupations,5160,Tellers
Brokerage Clerks,Office and Administrative Support Occupations,5200,Brokerage Clerks
Correspondent clerks and order clerks,Office and Administrative Support Occupations,5350,Correspondent Clerks and Order Clerks
"Court, Municipal, and License Clerks",Office and Administrative Support Occupations,5220,"Court, Municipal, and License Clerks"
"Credit Authorizers, Checkers, and Clerks",Office and Administrative Support Occupations,5230,"Credit Authorizers, Checkers, and Clerks"
Customer Service Representatives,Office and Administrative Support Occupations,5240,Customer Service Representatives
"Eligibility Interviewers, Government Programs",Office and Administrative Support Occupations,5250,"Eligibility Interviewers, Government Programs"
File Clerks,Office and Administrative Support Occupations,5260,File Clerks
"Hotel, Motel, and Resort Desk Clerks",Office and Administrative Support Occupations,5300,Hotel Desk Clerks
"Interviewers, Except Eligibility and Loan",Office and Administrative Support Occupations,5310,"Interviewers, Except Eligibility and Loan"
"Library Assistants, Clerical",Office and Administrative Support Occupations,5320,Clerical Library Assistants
Loan Interviewers and Clerks,Office and Administrative Support Occupations,5330,Loan Interviewers and Clerks
New Account Clerks,Office and Administrative Support Occupations,5340,New Account Clerks
"Human Resources Assistants, Except Payroll and Timekeeping",Office and Administrative Support Occupations,5360,Human Resources Assistants
Receptionists and Information Clerks,Office and Administrative Support Occupations,5400,Receptionists and Information Clerks
Reservation and Transportation Ticket Agents and Travel Clerks,Office and Administrative Support Occupations,5410,Transportation Ticket Agents and Travel Clerks
"Information and Record Clerks, All Other",Office and Administrative Support Occupations,5420,Other Information and Record Clerks
Cargo and Freight Agents,Office and Administrative Support Occupations,5500,Cargo and Freight Agents
Couriers and Messengers,Office and Administrative Support Occupations,5510,Couriers and Messengers
Dispatchers,Office and Administrative Support Occupations,5520,Dispatchers
"Meter Readers, Utilities",Office and Administrative Support Occupations,5530,"Meter Readers, Utilities"
Postal Service Clerks,Office and Administrative Support Occupations,5540,Postal Service Clerks
Postal Service Mail Carriers,Office and Administrative Support Occupations,5550,Postal Service Mail Carriers
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",Office and Administrative Support Occupations,5560,Postal Service Mail Sorters and Processors
"Production, Planning, and Expediting Clerks",Office and Administrative Support Occupations,5600,"Production, Planning, and Expediting Clerks"
"Shipping, Receiving, and Traffic Clerks",Office and Administrative Support Occupations,5610,Shipping and Receiving Clerks
Stock Clerks and Order Fillers,Office and Administrative Support Occupations,5620,Stock Clerks and Order Fillers
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Office and Administrative Support Occupations,5630,Recordkeeping Weighers and Measurers
Secretaries and Administrative Assistants,Office and Administrative Support Occupations,5700,Secretaries and Administrative Assistants
Computer Operators,Office and Administrative Support Occupations,5800,Computer Operators
Data Entry Keyers,Office and Administrative Support Occupations,5810,Data Entry Keyers
Word Processors and Typists,Office and Administrative Support Occupations,5820,Word Processors and Typists
Insurance Claims and Policy Processing Clerks,Office and Administrative Support Occupations,5840,Insurance Claims and Policy Processing Clerks
"Mail Clerks and Mail Machine Operators, Except Postal Service",Office and Administrative Support Occupations,5850,"Mail Clerks and Mail Machine Operators, Except Postal Service"
"Office Clerks, General",Office and Administrative Support Occupations,5860,General Office Clerks
"Office Machine Operators, Except Computer",Office and Administrative Support Occupations,5900,"Office Machine Operators, Except Computer"
Proofreaders and Copy Markers,Office and Administrative Support Occupations,5910,Proofreaders and Copy Markers
Statistical Assistants,Office and Administrative Support Occupations,5920,Statistical Assistants
"Office and Administrative Support Workers, All Other",Office and Administrative Support Occupations,5930,Other Office and Administrative Support Workers
Miscellaneous office and administrative support workers including desktop publishers,Office and Administrative Support Occupations,5940,Miscellaneous Office Support Workers
"Financial Clerks, All Other",Office and Administrative Support Occupations,5165,Other Financial Clerks
